"Location","Latitude","Longitude"
"Montgomery, AL",32.377716,-86.300568
"Phoenix, AZ",33.4484,-112.0740
"Little Rock, AR",34.7465,-92.2896
"Sacramento, CA",38.5767,-121.4934
"Denver, CO",39.7392,-104.9903
"Hartford, CT",41.7658,-72.6734
"Dover, DE",39.1582,-75.5244
"Tallahassee, FL",30.4383,-84.2807
"Atlanta, GA",33.7490,-84.3880
"Boise, ID",43.6150,-116.2023
"Springfield, IL",39.7817,-89.6501
"Indianapolis, IN",39.7684,-86.1581
"Des Moines, IA",41.5910,-93.6037
"Topeka, KS",39.0490,-95.6775
"Frankfort, KY",38.1867,-84.8759
"Baton Rouge, LA",30.4508,-91.1545
"Augusta, ME",44.3106,-69.7795
"Annapolis, MD",38.9784,-76.4922
"Boston, MA",42.3601,-71.0589
"Lansing, MI",42.7325,-84.5555
"St. Paul, MN",44.9537,-93.0892
"Jackson, MS",32.2988,-90.1848
"Jefferson City, MO",38.5767,-92.1735
"Helena, MT",46.5894,-112.0391
"Lincoln, NE",40.8136,-96.7026
"Carson City, NV",39.1638,-119.7674
"Concord, NH",43.2081,-71.5375
"Trenton, NJ",40.2206,-74.7597
"Santa Fe, NM",35.6870,-105.9378
"Albany, NY",42.6526,-73.7562
"Raleigh, NC",35.7796,-78.6382
"Bismarck, ND",46.8083,-100.7837
"Columbus, OH",39.9612,-82.9988
"Oklahoma City, OK",35.4676,-97.5164
"Salem, OR",44.9429,-123.0351
"Harrisburg, PA",40.2697,-76.8756
"Providence, RI",41.8231,-71.4188
"Columbia, SC",34.0007,-81.0348
"Pierre, SD",44.3683,-100.3510
"Nashville, TN",36.1627,-86.7816
"Austin, TX",30.2500,-97.7500
"Salt Lake City, UT",40.7608,-111.8910
"Montpelier, VT",44.2601,-72.5754
"Richmond, VA",37.5407,-77.4360
"Olympia, WA",47.0379,-122.9007
"Charleston, WV",38.3498,-81.6326
"Madison, WI",43.0731,-89.4012
"Cheyenne, WY",41.1399,-104.8202
